,sentence,match,probability,model,dataset
0,a,match,0.45565932989120483,ViT-B-32,connell2007
1,a,match,0.507253110408783,ViT-B-32,connell2007
2,a,match,0.97315514087677,ViT-B-32,connell2007
3,a,match,0.6023617386817932,ViT-B-32,connell2007
4,a,match,0.7565933465957642,ViT-B-32,connell2007
5,a,match,0.7053725719451904,ViT-B-32,connell2007
6,a,match,0.45937594771385193,ViT-B-32,connell2007
7,a,match,0.33008599281311035,ViT-B-32,connell2007
8,a,match,0.8365942239761353,ViT-B-32,connell2007
9,a,match,0.5044301748275757,ViT-B-32,connell2007
10,a,match,0.7514002919197083,ViT-B-32,connell2007
11,a,match,0.8960509896278381,ViT-B-32,connell2007
12,a,mismatch,0.5443406105041504,ViT-B-32,connell2007
13,a,mismatch,0.49274682998657227,ViT-B-32,connell2007
14,a,mismatch,0.026844853535294533,ViT-B-32,connell2007
15,a,mismatch,0.3976381719112396,ViT-B-32,connell2007
16,a,mismatch,0.24340665340423584,ViT-B-32,connell2007
17,a,mismatch,0.29462745785713196,ViT-B-32,connell2007
18,a,mismatch,0.5406240224838257,ViT-B-32,connell2007
19,a,mismatch,0.6699140071868896,ViT-B-32,connell2007
20,a,mismatch,0.16340580582618713,ViT-B-32,connell2007
21,a,mismatch,0.4955698251724243,ViT-B-32,connell2007
22,a,mismatch,0.24859973788261414,ViT-B-32,connell2007
23,a,mismatch,0.10394903272390366,ViT-B-32,connell2007
24,b,match,0.7884734272956848,ViT-B-32,connell2007
25,b,match,0.5400100350379944,ViT-B-32,connell2007
26,b,match,0.022129256278276443,ViT-B-32,connell2007
27,b,match,0.9910444021224976,ViT-B-32,connell2007
28,b,match,0.1823183000087738,ViT-B-32,connell2007
29,b,match,0.6361716985702515,ViT-B-32,connell2007
30,b,match,0.592042088508606,ViT-B-32,connell2007
31,b,match,0.6614574790000916,ViT-B-32,connell2007
32,b,match,0.12555144727230072,ViT-B-32,connell2007
33,b,match,0.47412896156311035,ViT-B-32,connell2007
34,b,match,0.3888341784477234,ViT-B-32,connell2007
35,b,match,0.268743097782135,ViT-B-32,connell2007
36,b,mismatch,0.211526557803154,ViT-B-32,connell2007
37,b,mismatch,0.45998990535736084,ViT-B-32,connell2007
38,b,mismatch,0.9778707027435303,ViT-B-32,connell2007
39,b,mismatch,0.008955636061728,ViT-B-32,connell2007
40,b,mismatch,0.8176816701889038,ViT-B-32,connell2007
41,b,mismatch,0.36382830142974854,ViT-B-32,connell2007
42,b,mismatch,0.40795794129371643,ViT-B-32,connell2007
43,b,mismatch,0.33854252099990845,ViT-B-32,connell2007
44,b,mismatch,0.8744485974311829,ViT-B-32,connell2007
45,b,mismatch,0.5258710384368896,ViT-B-32,connell2007
46,b,mismatch,0.6111657619476318,ViT-B-32,connell2007
47,b,mismatch,0.731256902217865,ViT-B-32,connell2007
